station_id;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;capacity;lat;long;DisttoCentre;labels;labelsPCA
104;83,0;85,0;86,0;86,0;82,0;60,0;28,0;15,0;11,0;11,0;11,0;18,0;33,0;51,0;55,0;58,0;63,0;66,0;69,0;68,0;62,0;66,0;73,0;82,0;26;41,41085670000024;2,1872940999999826;3,02;4;4
105;1,0;2,0;2,0;2,0;6,0;15,0;42,0;82,0;89,0;89,0;86,0;75,0;56,0;44,0;40,0;41,0;38,0;35,0;29,0;15,0;11,0;10,0;8,0;6,0;21;41,38919700000035;2,173555000000013;0,38;3;2
106;9,0;11,0;14,0;30,0;43,0;24,0;6,0;2,0;2,0;2,0;4,0;4,0;5,0;5,0;4,0;4,0;6,0;8,0;13,0;13,0;12,0;8,0;7,0;7,0;20;41,40559999999931;2,1622999999999757;2,16;2;5
107;2,0;2,0;3,0;10,0;12,0;20,0;10,0;9,0;10,0;12,0;10,0;9,0;4,0;3,0;6,0;6,0;4,0;4,0;4,0;4,0;5,0;4,0;3,0;2,0;20;41,398561099999746;2,1530513000000115;1,91;2;5
108;25,0;31,0;32,0;40,0;53,0;28,0;7,0;5,0;6,0;6,0;11,0;16,0;13,0;15,0;11,0;24,0;24,0;25,0;23,0;21,0;22,0;16,0;13,0;17,0;21;41,40243280000038;2,164850299999978;1,77;2;5
109;10,0;12,0;12,0;12,0;12,0;11,0;10,0;10,0;12,0;11,0;9,0;10,0;6,0;5,0;8,0;7,0;3,0;3,0;7,0;10,0;9,0;10,0;8,0;6,0;18;41,3909359999998;2,1474256999999892;1,94;2;5
110;13,0;11,0;10,0;10,0;8,0;5,0;2,0;3,0;4,0;4,0;4,0;6,0;12,0;10,0;11,0;9,0;10,0;11,0;13,0;14,0;18,0;21,0;22,0;16,0;21;41,3857052999995;2,1547190999999817;1,29;2;5
111;75,0;77,0;76,0;74,0;74,0;51,0;15,0;4,0;4,0;3,0;6,0;16,0;20,0;25,0;23,0;20,0;32,0;44,0;46,0;49,0;55,0;61,0;67,0;74,0;27;41,381314099999415;2,1527471000000036;1,58;5;3
112;75,0;76,0;77,0;77,0;68,0;47,0;18,0;10,0;9,0;9,0;11,0;14,0;23,0;34,0;43,0;50,0;58,0;69,0;73,0;69,0;63,0;64,0;71,0;77,0;20;41,37760609999979;2,1572894999999956;1,49;4;4
113;85,0;86,0;83,0;81,0;79,0;67,0;33,0;8,0;6,0;9,0;9,0;14,0;20,0;22,0;27,0;41,0;63,0;79,0;87,0;88,0;85,0;84,0;84,0;85,0;27;41,377409600000526;2,164826100000022;1,15;4;4
114;57,0;47,0;32,0;25,0;22,0;24,0;48,0;75,0;73,0;58,0;45,0;33,0;22,0;31,0;73,0;77,0;73,0;71,0;61,0;37,0;49,0;66,0;74,0;70,0;20;41,37683340000046;2,1737388999999907;1,17;1;1
